2021-08-01 20:52:50,"b'We offer you, the chance to get iPhone 12 Pro if you want visit my website. Click Here: https://t.co/XFGFF0NPj5   #iphone #pro #promax #apple #plus #ios #appleiphone #mini #iphonese #oneplus #caseiphone #ultra #iphonex #ipadpro #applewatch #shotoniphone #galaxys #technology #tech https://t.co/WncuBkiOCz'",b'AlifjanNiloy',"['iphone', 'pro', 'promax', 'apple', 'plus', 'ios', 'appleiphone', 'mini', 'iphonese', 'oneplus', 'caseiphone', 'ultra', 'iphonex', 'ipadpro', 'applewatch', 'shotoniphone', 'galaxys', 'technology', 'tech']",296
2021-08-01 19:11:12,"b'Apple iPhone SE 2020 for Business {https://t.co/o0CNfOiYWm} \xc2\xa324.17pm, Upfront Cost \xc2\xa30.00 UNLIMITED DATA  #appleiphone #iphonese2020 #iphonese #business #BusinessPlan #businesstools #smartphone #smartphones #threeuk #3uk #london #UnitedKingdom #businesstips https://t.co/rGdQmHsSm6'",b'MidnightinLond',"['appleiphone', 'iphonese2020', 'iphonese', 'business', 'BusinessPlan', 'businesstools', 'smartphone', 'smartphones', 'threeuk', '3uk', 'london', 'UnitedKingdom', 'businesstips']",477
2021-08-01 17:49:46,b'iPhone SE from \xc2\xa322.99/m. No upfront cost {https://t.co/alFVF7DcFP}  #iphoneSE #BeatsFlex #carphonewarehouse #iPhone #iPhoneSEPlus #iphoneseller #smartphone #smartphones #iOS14 #dealoftheday #monthlycost #TechNews #earbuds',b'MidnightinLond',"['iphoneSE', 'BeatsFlex', 'carphonewarehouse', 'iPhone', 'iPhoneSEPlus', 'iphoneseller', 'smartphone', 'smartphones', 'iOS14', 'dealoftheday', 'monthlycost', 'TechNews', 'earbuds']",477
2021-08-01 08:36:56,b'Welcome! This is a private blog of Trinette Rani Johnson. It is a multi-stan account and it stans @theweeknd and @michaeljackson mostly. Also it is a Twitter for #animehusbandos and random #otome . It also features random tech talk about @android and using an #iphonese. Follow me',b'iamtrinette',"['animehusbandos', 'otome', 'iphonese']",710
2021-08-01 08:17:05,"b'Apple place order for over 100 million A15 Bionic Chips. @Apple Upcoming iPhone 13 Series, iPad Mini 6 &amp; iPhone SE is expected to have A15 Bionic Chip. #A15Bionic #appleindia #iPhone13 #iPadMini6 #iPhoneSE https://t.co/JL9BNyQCL0'",b'digitaltuitionc',"['A15Bionic', 'appleindia', 'iPhone13', 'iPadMini6', 'iPhoneSE']",29
2021-07-31 17:10:48,b'@Flipkart Sucks !Call Centre man Manish Calls &amp; literally threatened saying they will neither Replace nor Refund the Damaged/Defective Product Delivered #iPhoneSE ! I think filing a Case in the Consumer Forum &amp; Simultaneously Criminal Complaint to @chennaipolice_ for Cheating ! https://t.co/UWaRfMRpso',b'irajashekaran',['iPhoneSE'],3585
2021-07-31 14:53:19,"b""The internet is full of cats but I couldn't resist this one of my son's cat. #photography #photo #bnwphotography #blackandwhite #blackandwhitephotography #blackandwhitephoto #blackandwhitephotos #monochromephotography #Monochrome  #cameraphone #iPhoneSE #nature #cats #feline https://t.co/NsbplK7YpF""",b'GerrySimons',"['photography', 'photo', 'bnwphotography', 'blackandwhite', 'blackandwhitephotography', 'blackandwhitephoto', 'blackandwhitephotos', 'monochromephotography', 'Monochrome', 'cameraphone', 'iPhoneSE', 'nature', 'cats', 'feline']",96
2021-07-31 12:53:01,"b'Why do the industry accept flawed #camerabump design rather than making it thicker? Maybe fit some larger batteries for \xe2\x80\x9cpro\xe2\x80\x9d use  I hate it, it makes the #iPhone wobble, scratches everything it touches and exposing more areas of glass to be cracked.  #iphone13 @Apple #iPhoneSE'",b'renegadevi',"['camerabump', 'iPhone', 'iphone13', 'iPhoneSE']",53
2021-07-31 11:45:32,"b'Fraud Gang @Flipkart ,Pl Don\xe2\x80\x99t Buy/Order/Book any Product wt @Flipkart ,I Bought #iPhoneSE &amp; Exchanged My Old #Iphone6 for 2400\xe2\x82\xb9 &amp; Paid balance Cash \xe2\x82\xb926,699/- ,Was shocked to Know that delivered IPhone didn\xe2\x80\x99t work. Cheats &amp; Frauds ! Posting the Conversation! @chennaipolice_ https://t.co/38Vvr5F1iX'",b'irajashekaran',"['iPhoneSE', 'Iphone6']",3585
2021-07-31 10:59:42,b'Need some help please. iPhone SE 2020 through the post with charger cable but no wall mount plug? Is this right? Nothing was mentioned on the phone to me yesterday? Do I have to buy one? @EE @Apple #Apple #EE #iPhoneSE #flatbattery',b'T10WS',"['Apple', 'EE', 'iPhoneSE', 'flatbattery']",142
